TF,Target,Label
59,2156,1
684,3818,1
59,1532,1
59,37,1
9613,2866,0
9613,2588,0
9559,10743,0
3973,5137,1
4408,5914,1
59,3442,0
964,3284,0
684,12165,0
1252,9374,0
703,2674,1
3973,7747,1
10973,2982,0
2022,542,1
59,6002,1
59,7662,1
5695,5084,1
4543,906,0
9559,2703,1
59,10130,1
703,5272,0
703,5680,0
4546,7345,0
10973,3209,1
4546,9104,0
59,1572,0
4543,10983,1
2391,283,1
2391,1452,1
4408,7168,0
4994,6894,1
4546,3082,1
4994,12182,1
3973,6679,0
964,11245,0
4994,943,1
9613,3511,1
4994,9104,1
10973,4563,0
4408,7949,0
9559,10116,1
10973,11404,1
964,1512,0
9559,12153,0
703,11496,0
59,6487,1
964,1766,0
9613,5844,1
9613,1714,1
9613,10958,0
59,2625,0
703,7924,0
59,9475,0
59,11049,0
59,4076,0
964,1141,0
3973,12113,0
703,9922,0
754,5913,0
10973,6664,1
703,5219,0
964,8790,0
59,6315,1
9613,92,1
59,11637,1
3973,1611,0
3973,6737,0
754,6942,1
2391,2888,0
9559,8020,1
751,7177,1
754,1116,0
703,4530,1
59,10083,1
3973,8587,1
3966,10354,0
5695,5799,1
2391,2047,0
9095,8893,1
9613,9637,0
754,1849,1
4546,6138,1
684,9936,0
684,2765,0
59,3194,1
684,1557,1
754,8332,1
5695,8472,1
3973,10319,0
9613,10458,1
4408,2891,1
59,4342,0
754,1436,0
4994,7521,0
3973,3867,1
684,8527,0
59,11920,0
684,1512,1
4408,8323,1
703,9840,0
10973,8984,1
59,7472,0
9559,7308,0
754,3500,1
59,262,0
59,10637,1
59,266,1
59,5330,0
9613,7441,1
3966,7329,1
964,4884,0
59,10211,0
59,10263,1
1252,8310,0
3974,2883,0
4994,11782,1
9559,2766,0
59,9724,0
59,8274,0
4408,2866,0
2022,5043,1
684,698,0
9095,12050,0
9095,358,0
2391,6108,0
59,7848,1
9559,11987,1
4994,11984,1
2391,1883,1
7499,9463,1
8212,10704,0
3973,2250,1
2391,4266,1
964,7566,0
10973,5371,0
59,120,1
10973,3959,1
707,2158,0
684,759,1
9559,91,0
9559,3535,1
9559,5630,1
703,6164,1
703,8152,1
742,799,0
4543,6892,0
5695,2426,0
3966,5426,1
4546,11640,1
59,4537,0
59,3749,0
703,10376,1
266,11738,0
9613,3391,0
964,7447,1
59,4064,0
59,2698,0
59,8424,1
59,8882,0
9613,6852,1
4994,5510,1
3974,10429,0
3973,6213,0
9613,1820,1
10973,1815,0
10973,514,1
684,8526,1
10973,3449,0
5695,9929,0
59,1446,0
9559,8350,0
10973,195,0
3973,9443,0
684,269,1
59,9554,1
684,10689,1
9613,3284,1
684,7034,0
4408,1445,1
4408,7481,1
59,2711,0
10973,7223,0
703,5786,1
787,9097,1
3973,3366,0
703,7606,1
59,7179,1
2391,3623,1
3973,10614,0
754,12079,1
4994,2812,0
59,2664,1
4408,1968,1
59,4610,0
3973,11488,1
703,3706,0
2391,2462,0
3973,10151,1
9559,4769,0
59,9408,1
3973,684,1
964,4501,0
2391,4466,1
9613,11958,1
59,8045,0
975,4999,1
1252,4253,1
4546,5183,0
4994,3135,0
3973,3252,1
4408,4490,0
964,5768,1
3973,707,1
4543,8963,1
59,11747,0
266,794,1
5695,9945,0
703,9690,1
4994,4200,0
9559,12034,1
5695,9368,0
5695,7587,1
10973,2210,0
684,2435,0
8212,4505,0
703,1460,1
684,1050,0
703,1719,0
10973,2716,0
59,759,1
59,3721,1
1252,1109,0
5695,1857,0
754,7516,1
9613,5128,0
684,8609,1
59,7485,0
5695,8725,0
59,3270,1
703,8522,0
59,8985,0
10973,8208,0
2391,9095,0
964,5730,0
3973,9378,0
975,8974,1
4543,7149,0
2391,3344,0
2391,5464,1
975,4368,0
703,4772,0
9613,5702,0
9150,11454,1
1252,7030,0
754,12081,0
703,7948,0
4546,5138,0
3973,5166,1
9559,3555,0
2391,735,1
9559,6285,0
59,6392,0
2022,3387,1
59,5191,0
754,11132,0
684,4415,0
684,10177,1
2391,11588,0
59,162,1
1446,9191,1
703,8491,0
684,9306,0
10354,5358,0
964,3423,1
10973,8324,0
2391,4676,0
59,8782,1
787,4039,0
9150,9672,0
3973,2656,0
703,10765,1
964,11617,0
59,3185,0
4543,12208,0
4408,9133,0
59,3560,1
703,7094,1
3974,8195,1
9613,9731,0
4543,2285,0
684,5069,1
4408,5655,0
4546,6735,0
684,4661,1
59,10975,0
1252,5232,0
703,10357,0
3973,5451,0
59,1097,1
3973,970,1
59,6560,1
1252,10448,1
787,10571,1
684,5134,1
754,1549,1
9613,14,0
754,9008,1
754,6837,0
10545,11925,0
10973,3491,1
59,6583,0
703,7936,0
684,10370,1
4408,9465,1
4994,2662,0
59,1888,0
4408,864,1
4994,2926,1
9613,10565,1
684,287,1
9150,8417,1
9613,5364,0
4543,7517,0
9613,3053,0
3974,4467,1
4994,11411,1
2391,4227,0
59,2200,0
975,5180,1
9613,11981,1
59,265,1
59,1801,0
59,2271,0
10973,9144,0
3973,7074,0
59,7882,1
10973,450,0
