TF,Target,Label
8247,596,1
7863,8018,1
8247,11130,1
7442,938,1
8247,3664,0
3887,10824,0
7442,3735,1
7863,12170,0
7863,10063,0
3887,4054,1
7863,11624,1
7442,2419,1
7863,7528,0
7863,1760,0
8247,1571,1
8247,10122,1
8247,6734,0
7442,8373,0
3887,2757,1
7442,7187,1
7442,409,1
3887,5014,1
8247,8788,0
7442,2077,0
7863,11522,0
7442,2546,0
7442,885,1
7442,5700,0
7442,12033,1
8247,4228,0
3887,11195,0
8247,8339,1
3887,6602,1
3887,11103,1
7442,10133,0
8247,4398,0
7442,11314,0
7442,5879,1
7442,8060,1
8247,6700,0
7863,6357,0
8247,5349,0
8247,12183,0
8247,1404,0
7863,3037,1
7442,2769,1
7863,11593,0
8247,4897,0
8247,12040,1
7863,11491,1
3887,2235,1
7863,12015,0
7863,10300,1
7442,7966,1
3887,7850,1
3887,10998,0
3887,3386,0
8247,9038,1
7863,6549,0
7863,1098,0
7442,7889,0
7442,8990,1
8247,11102,0
7442,6231,0
7442,7088,0
8247,6257,1
7442,215,0
7863,9590,0
8247,10159,1
3887,4019,1
3887,915,0
7863,5473,0
7442,5130,1
7442,7859,1
7863,6826,0
7863,3257,1
8247,3978,0
3887,1841,1
3887,9586,0
7442,4299,0
8247,11595,1
7442,4451,1
7442,6664,0
8247,2042,0
7442,2415,0
7863,684,0
7442,7571,0
8247,11986,0
8247,9392,0
7442,4866,0
3887,4842,0
8247,7679,1
7442,10431,1
8247,2137,1
7442,286,1
8247,10750,1
7442,10319,0
8247,9462,1
3887,12001,1
8247,4359,1
8247,9654,1
7442,1059,1
7442,560,1
7442,7383,0
7442,9798,1
8247,9008,1
3887,6645,1
7863,5008,1
3887,2332,1
3887,4256,0
7442,3758,1
3887,1989,1
8247,5263,1
3887,4086,1
8247,11367,0
8247,1497,0
8247,2865,1
3887,1295,0
8247,7258,1
7442,11188,1
3887,2778,0
7442,1917,1
3887,6433,0
7863,9977,1
7863,5913,0
7863,9892,0
3887,7055,0
7442,2451,1
8247,3094,1
3887,6998,0
8247,6606,0
8247,1447,1
7863,5504,1
7442,5931,1
8247,7139,1
8247,6148,0
7863,1538,1
8247,8470,0
7442,4798,1
7863,9839,0
3887,10645,0
8247,5170,1
7442,3978,0
8247,10581,0
7442,10944,0
8247,8903,0
7442,4399,1
8247,903,1
3887,1215,1
7442,687,1
7863,6247,0
7863,6527,1
7863,12081,1
8247,7855,0
8247,9977,1
7442,8514,0
3887,3672,0
8247,6527,1
3887,1268,0
7863,5934,1
8247,8709,1
8247,10459,0
8247,8150,0
7442,2690,0
7442,5379,0
7442,3887,1
8247,10843,0
8247,9403,1
7863,5644,1
7442,1835,1
7442,4219,1
7442,6209,0
7442,8240,0
3887,5454,1
7442,10781,0
8247,5282,0
8247,3938,1
8247,4250,1
8247,10220,1
7863,3752,0
7442,8813,0
8247,4953,0
7863,10364,1
8247,4243,0
3887,9545,0
7442,11337,0
3887,11737,1
7863,5002,1
7442,5174,1
7442,12207,0
8247,6947,1
8247,318,0
7863,8660,1
7442,8759,0
8247,6535,1
7442,1836,1
7863,9407,1
8247,7836,0
8247,5137,1
8247,2927,0
8247,3699,1
7442,3422,1
7442,10967,0
7442,6208,0
7863,7869,0
7863,5309,1
7442,11732,0
3887,5115,1
7442,884,0
3887,5895,0
8247,1282,0
8247,5850,0
7442,4598,0
7442,2308,0
8247,8624,0
7442,632,0
8247,9756,1
7863,10054,0
7863,6567,0
8247,5158,1
3887,1677,0
7442,10587,1
8247,12102,1
7442,2262,0
8247,418,0
8247,489,1
7442,11063,1
8247,3482,1
8247,7106,1
8247,3722,0
3887,4122,0
8247,11550,1
8247,1507,1
3887,11663,0
7442,4385,1
7442,1292,1
8247,4030,0
8247,1397,0
7442,8593,1
7442,2725,0
7863,4358,1
7863,9059,0
7442,9438,0
7442,10712,0
7442,9437,1
7863,1965,1
7442,1988,0
8247,1567,1
3887,2486,0
7442,9460,1
8247,2307,0
7442,8277,1
8247,100,1
7442,11185,1
7442,2476,1
8247,6328,1
7442,10665,1
8247,11601,0
8247,8406,0
8247,3634,1
7442,1856,0
8247,8755,1
7863,9038,1
3887,10855,0
3887,8835,0
8247,2115,1
8247,602,1
8247,7251,1
7863,7883,1
7442,10159,1
8247,5744,0
3887,10716,1
8247,11160,0
7442,4521,1
7863,9493,1
3887,1124,1
7442,11852,1
7863,993,0
7442,1871,0
8247,7600,1
7863,11382,0
7863,11335,1
7442,11846,0
8247,8514,0
7863,5878,1
3887,8183,0
8247,9777,1
3887,464,0
7442,5645,1
7442,9959,0
8247,2960,0
8247,11171,0
7442,1677,0
3887,10463,0
8247,10768,0
3887,3706,0
7863,9693,0
7863,6120,1
8247,1417,1
8247,11009,0
7442,1177,1
8247,10248,0
3887,7636,1
8247,2524,0
8247,1737,1
3887,2497,1
8247,3838,1
3887,1824,1
7863,3477,0
7442,7223,1
7442,2533,0
8247,6472,1
8247,11251,0
7863,11014,1
7442,7971,1
7863,10220,1
7442,2091,0
7442,6579,1
7442,209,1
8247,3749,1
7863,10058,0
8247,9358,1
8247,3630,0
8247,2402,0
7863,2779,0
8247,5811,1
7442,8978,0
7442,4791,1
8247,3458,1
7863,4290,0
3887,3608,0
7442,10496,1
8247,11157,0
7442,1749,1
3887,11948,1
7863,2239,1
8247,1440,0
8247,7460,0
8247,4424,0
7442,2563,1
7442,5327,1
7442,10192,1
7863,9029,1
7442,2792,0
3887,4658,0
7442,3173,0
7863,971,0
7442,4358,1
7442,2186,1
8247,2495,0
7863,3924,1
8247,2989,1
3887,9706,0
8247,8593,1
7442,8770,1
8247,9416,1
8247,10950,0
7863,2508,1
7442,1758,0
7863,7488,1
7442,1991,1
3887,8113,1
8247,1467,0
8247,9551,1
8247,11987,1
3887,3334,1
7442,6384,0
3887,4066,1
7442,1638,0
7863,7341,0
7442,6122,1
7442,2868,0
3887,11707,1
8247,5840,1
7442,9303,1
7442,11936,0
8247,4152,1
7442,9465,1
8247,6958,1
3887,9000,1
7442,8774,1
8247,1470,0
8247,10758,0
7442,10506,0
7442,3208,1
7442,10107,0
7863,9454,1
8247,6452,0
7442,8145,0
8247,12000,1
7863,6977,0
7863,7168,0
3887,9251,0
8247,11490,1
7442,9040,1
7863,8050,1
7442,787,1
8247,11474,0
7442,3594,0
7863,5411,1
8247,10014,0
7863,7265,0
8247,1376,0
7442,6527,1
8247,10352,0
8247,9855,1
3887,9077,1
7442,11570,1
7863,10283,0
7442,7402,0
8247,8361,0
8247,166,1
3887,7369,0
7863,11416,1
7442,6711,0
7442,9728,0
7442,4190,1
7442,7075,0
7442,611,0
8247,1897,1
8247,2616,0
7442,68,0
7863,10488,1
8247,6195,0
8247,3410,1
8247,815,1
7442,6736,0
3887,11773,1
8247,10094,0
8247,6140,1
8247,8787,1
7442,298,0
3887,1132,1
8247,6185,0
3887,8588,0
7863,7868,1
7442,6460,1
7442,10993,1
7863,9250,0
8247,407,0
8247,10671,1
7863,5691,1
3887,3047,1
7442,12205,0
7863,7893,0
3887,10071,0
8247,9750,1
8247,11149,0
8247,5047,1
7442,8276,1
8247,11672,0
7442,2389,1
7442,1794,0
7442,7139,1
7863,6830,0
7863,5288,0
8247,7179,1
7442,3509,0
8247,1479,1
3887,3755,0
7442,2880,0
7442,279,0
8247,5344,1
8247,1790,0
7442,7877,1
7863,2159,0
7442,1201,1
7442,8073,0
7863,9803,1
8247,8037,0
3887,8252,0
7442,3768,0
8247,4524,1
8247,6012,0
3887,3202,0
3887,5342,0
3887,6006,1
7442,3100,1
8247,5602,0
7442,965,0
3887,4740,1
7442,5676,0
8247,3420,1
7442,2565,1
7863,987,1
7442,1519,1
8247,6302,0
7863,4965,1
8247,10894,0
7442,10895,0
7442,9892,1
8247,1138,1
7442,8933,0
7442,12077,1
7442,2236,0
3887,2952,1
7863,9847,0
7863,4208,0
7863,6275,1
3887,9223,1
7442,6786,1
3887,1617,1
7442,5465,0
8247,4564,1
7442,10210,1
7442,4027,0
3887,7786,1
7863,6752,1
8247,957,1
7863,868,1
7442,6687,0
7442,4953,0
3887,1985,1
8247,12050,0
7863,5316,0
7442,10939,0
7863,2214,1
3887,8039,1
8247,4744,0
7863,6167,0
7442,3125,1
7442,5217,1
3887,4499,0
8247,5691,1
7442,9188,0
7442,189,0
7442,6345,0
7442,7009,1
8247,9305,1
7442,3824,0
7863,7187,1
3887,11077,0
8247,10318,1
8247,3877,0
7442,2895,1
8247,7681,0
7442,5760,0
3887,1851,0
7442,5381,1
7442,2898,0
7442,4132,0
7442,975,0
7442,1226,0
7442,11625,1
7863,1476,0
7442,7176,1
3887,2943,0
8247,1318,0
3887,888,1
7442,8048,0
3887,6601,1
8247,11462,0
8247,2463,1
7863,6904,0
8247,4489,1
7442,2662,0
7442,1178,1
8247,1658,1
8247,1161,0
8247,10998,1
7442,6406,0
7863,4411,1
8247,670,0
3887,7089,1
7442,8906,1
3887,10196,1
7863,9050,0
7863,8743,1
3887,6585,1
7442,3251,1
7863,3008,0
7863,11869,0
7442,7252,0
7863,4454,1
8247,10202,0
8247,8012,0
8247,5670,0
7442,4578,0
8247,9766,0
8247,2782,0
7863,370,0
8247,1841,1
7442,2321,1
8247,9456,0
8247,9219,0
8247,11326,0
8247,397,1
8247,5318,0
8247,8864,1
8247,7162,0
8247,9652,1
7863,11324,0
8247,939,0
7442,12201,0
7863,4675,0
3887,7225,0
