TF,Target,Label
6107,3297,1
5129,10488,1
11724,8295,1
8247,7094,1
7162,2419,1
11724,8921,1
11724,2400,1
11724,7184,1
8298,8448,1
5129,1502,1
8298,378,1
5129,7750,1
8298,9117,1
8298,7852,1
8247,6999,1
8247,2242,1
5129,197,1
8247,2155,1
8247,5193,1
5129,1026,1
11724,9592,1
11724,4300,1
11724,5120,1
5129,10745,1
5129,4002,1
6107,10901,1
11724,7669,1
5129,8560,1
8247,1105,1
7162,5945,1
6107,3962,1
5129,333,1
6107,11016,1
11724,5528,1
8247,8707,1
5129,3909,1
11724,8185,1
8298,9723,1
5129,9942,1
8247,4521,1
8298,1779,1
6107,8440,1
8247,5324,1
8298,7315,1
421,528,1
8298,2372,1
5129,9708,1
7162,1113,1
5129,3456,1
8298,11286,1
11724,10089,1
8298,11099,1
5129,7022,1
11724,5156,1
5129,5168,1
5129,8108,1
5129,8756,1
7162,7179,1
8298,4700,1
11724,1828,1
8247,1606,1
8247,7250,1
5129,1278,1
8298,1845,1
5129,841,1
7162,7539,1
8247,4969,1
6107,2189,1
6107,4161,1
6107,8148,1
11724,165,1
8298,1071,1
6107,9756,1
5129,2647,1
8298,2310,1
8298,885,1
5129,4453,1
5129,6489,1
8247,883,1
11724,3014,1
7162,10646,1
8247,12075,1
11724,5800,1
8247,1027,1
8298,9402,1
8298,7109,1
11724,2477,1
8247,11573,1
5129,5719,1
8247,11603,1
5129,8334,1
8247,692,1
6107,11519,1
8247,3044,1
8247,9008,1
421,6659,1
8247,882,1
6107,8492,1
8298,11859,1
5129,10983,1
5129,7171,1
5129,11852,1
11724,5176,1
7162,9803,1
8247,5035,1
8247,7056,1
11724,11107,1
6107,11122,1
8298,9977,1
7162,8450,1
421,6560,1
8247,9575,1
8247,220,1
5129,2710,1
8298,4303,1
8247,10937,1
6107,1766,1
7162,2609,1
8298,5566,1
8298,4425,1
5129,5008,1
11724,10278,1
5129,6965,1
11724,2908,1
8247,6041,1
5129,4433,1
5129,11570,1
5129,11617,1
5129,4464,1
7162,9276,1
421,12025,1
5129,2898,1
5129,9630,1
5129,6072,1
11724,7663,1
11724,1899,1
5129,4525,1
5129,9780,1
6107,5780,1
11724,3294,1
8298,10930,1
5129,5273,1
8247,6191,1
8298,5436,1
8247,6520,1
7162,11935,1
6107,3255,1
5129,627,1
8298,1738,1
5129,1417,1
5129,928,1
11724,5217,1
11724,10241,1
5129,12121,1
6107,6298,1
7162,1507,1
5129,8556,1
5129,6836,1
8298,11482,1
8298,10117,1
8247,5881,1
8247,10520,1
6107,815,1
11724,934,1
421,587,1
5129,6049,1
8247,10544,1
8247,6286,1
8298,1006,1
8298,9481,1
6107,1897,1
7162,2356,1
421,3921,1
5129,11668,1
8247,6219,1
5129,2360,1
7162,4855,1
8247,863,1
5129,10356,1
7162,3053,1
8298,10437,1
6107,9551,1
5129,8894,1
5129,2750,1
5129,11004,1
11724,7422,1
11724,11901,1
5129,3242,1
8247,2622,1
5129,8138,1
8247,2061,1
7162,10348,1
11724,6881,1
5129,7166,1
11724,8316,1
8247,2762,1
5129,2373,1
8298,1888,1
5129,11172,1
8247,10365,1
11724,2693,1
8247,1717,1
5129,2844,1
6107,599,1
8298,1381,1
5129,7086,1
11724,794,1
6107,10992,1
5129,4245,1
7162,4121,1
8247,2231,1
7162,7899,1
5129,5871,1
6107,8970,1
6107,1120,1
5129,10635,1
6107,3575,1
5129,11466,1
5129,7193,1
8298,505,1
5129,10926,1
6107,8827,1
8247,5599,1
11724,4157,1
8247,6462,1
11724,6546,1
5129,12034,1
5129,598,1
11724,7329,1
7162,11836,1
5129,7379,1
8247,6275,1
11724,6364,1
5129,9819,1
7162,1177,1
6107,1862,1
6107,11510,1
5129,3100,1
5129,1715,1
11724,7863,1
8247,4285,1
8247,6711,1
5129,3852,1
6107,6516,1
5129,5411,1
11724,7522,1
5129,7113,1
5129,763,1
5129,9479,1
8298,4549,1
5129,3573,1
8247,9303,1
5129,7127,1
5129,9229,1
421,7408,1
8247,9277,1
8298,10845,1
8298,6013,1
11724,4857,1
5129,1329,1
8298,10175,1
421,1104,1
7162,7251,1
8298,1658,1
5129,1762,1
5129,3450,1
5129,5062,1
421,11595,1
8298,11872,1
6107,2449,1
421,10230,1
5129,3193,1
6107,1152,1
8298,2860,1
5129,10966,1
5129,3458,1
8247,2932,1
8247,9837,1
5129,347,1
8298,11670,1
8298,1897,1
5129,1202,1
8298,8864,1
5129,6467,1
8298,1478,1
421,2180,1
6107,5044,1
8247,3809,1
11724,1451,1
8247,9572,1
11724,9726,1
8298,9423,1
8298,10490,1
11724,4187,1
8247,3668,1
5129,10794,1
6107,4760,1
6107,2186,1
7162,8773,1
8298,1388,1
11724,3759,1
6107,11521,1
6107,7451,1
5129,10649,1
8247,2630,1
5129,10830,1
5129,2287,1
8298,3004,1
11724,632,1
8298,8868,1
8247,6232,1
11724,3208,1
8247,8634,1
5129,1036,1
5129,533,1
11724,7913,1
7162,9008,1
6107,11288,1
5129,5005,1
8298,5788,1
5129,2343,1
8298,5213,1
8247,4342,1
8298,8044,1
8298,9276,1
8298,35,1
8247,3857,1
8247,10620,1
5129,2223,1
8247,4061,1
5129,1689,1
8247,4654,1
11724,10931,1
5129,979,1
5129,2019,1
5129,2095,1
421,11461,1
8298,9206,1
5129,4181,1
8298,5392,1
8298,7588,1
5129,1512,1
8247,4175,1
7162,9417,1
8298,4958,1
5129,11789,1
11724,9155,1
11724,6861,1
6107,10657,1
11724,1796,1
7162,5130,1
6107,1402,1
5129,3167,1
8298,11195,1
8247,901,1
7162,5654,1
8247,11638,1
5129,1396,1
5129,3556,1
7162,1599,1
11724,596,1
5129,7578,1
8247,6353,1
421,1149,1
5129,3125,1
8247,5763,1
5129,3217,1
5129,4381,1
8247,3847,1
6107,1128,1
8247,4079,1
11724,8179,1
8298,43,1
421,4654,1
11724,9525,1
5129,6368,1
8298,1066,1
8298,4791,1
11724,3520,1
5129,516,1
7162,3409,1
5129,8684,1
6107,10127,1
11724,8357,1
5129,6042,1
5129,1455,1
8247,7499,1
8298,2453,1
5129,8810,1
8298,10909,1
5129,6330,1
5129,8581,1
421,3763,1
5129,9231,1
8247,2492,1
6107,10029,1
5129,10055,1
5129,7184,1
8247,421,1
8298,2359,1
8298,9690,1
8247,4727,1
8298,8655,1
7162,1873,1
5129,10547,1
8247,3260,1
11724,7015,1
5129,3240,1
11724,5076,1
5129,6834,1
11724,6826,1
6107,6271,1
8247,8234,1
8298,10086,1
8247,3473,1
8247,387,1
8298,2866,1
5129,11908,1
8298,8115,1
8247,5786,1
5129,11075,1
8298,1310,1
11724,3422,1
5129,4681,1
5129,7911,1
5129,5512,1
421,8668,1
11724,866,1
5129,10616,1
8298,10506,1
8247,10858,1
11724,6954,1
8298,4161,1
8247,11547,1
11724,4674,1
7162,77,1
6107,10893,1
8298,4741,1
5129,4152,1
5129,4407,1
8298,3156,1
5129,1402,1
7162,6173,1
8247,2118,1
8298,1821,1
8247,6117,1
6107,5490,1
8247,11254,1
5129,2580,1
8298,2810,1
8247,890,1
5129,7780,1
5129,162,1
5129,560,1
11724,4329,1
6107,5708,1
8247,8032,1
8298,9719,1
421,329,1
8247,7439,1
11724,11214,1
5129,5544,1
7162,11029,1
8298,7153,1
8247,7729,1
421,6248,1
8247,9017,1
11724,4118,1
8298,4984,1
11724,5463,1
11724,1406,1
8298,3838,1
6107,5826,1
7162,10869,1
8298,9739,1
5129,2651,1
6107,10856,1
5129,8766,1
5129,10146,1
5129,3694,1
8247,4100,1
8298,1850,1
11724,2567,1
8247,10807,1
8247,2029,1
5129,5595,1
6107,2401,1
11724,1710,1
8298,2123,1
5129,9821,1
8298,6806,1
8298,9421,1
11724,242,1
8247,5070,1
8298,6442,1
8247,600,1
7162,3626,1
8247,11086,1
5129,6568,1
5129,7740,1
6107,8058,1
8298,7231,1
6107,8300,1
6107,12128,1
8247,11065,1
6107,1559,1
8247,4431,1
6107,9405,1
8298,11497,1
11724,11613,1
5129,318,1
5129,9803,1
8298,3458,1
5129,8405,1
5129,10390,1
8298,9079,1
8298,11459,1
8247,1475,1
5129,11318,1
5129,4393,1
5129,5134,1
8247,402,1
8298,10834,1
8247,8858,1
8247,3821,1
421,4372,1
7162,8187,1
5129,10782,1
8247,9234,1
7162,6557,1
8247,3490,1
6107,11901,1
7162,8345,1
8298,2449,1
5129,9672,1
5129,1700,1
11724,2152,1
5129,2419,1
8298,8636,1
5129,3762,1
8298,3095,1
11724,4150,1
8247,2240,1
8298,8663,1
8298,3071,1
8298,1649,1
8298,8288,1
5129,4741,1
7162,3324,1
8247,1074,1
7162,11595,1
6107,2287,1
6107,5156,1
8247,11342,1
8298,3031,1
5129,5821,1
6107,3605,1
5129,10170,1
8298,9572,1
5129,357,1
11724,63,1
8298,1710,1
8247,7577,1
