TF,Target,Label
3973,8914,0
3973,1775,0
754,9899,1
964,5973,0
2391,9262,1
8212,3519,0
684,8595,1
787,2813,1
9559,10432,1
964,2467,0
703,7717,1
4408,7555,0
59,2379,0
703,562,0
684,777,0
59,7260,0
4994,5835,0
4994,11416,0
10973,11284,1
3973,8391,0
9613,6460,1
2391,2527,0
3973,10970,1
684,8509,0
9613,5808,1
4546,10638,1
9613,2024,1
4543,7567,0
4546,4588,0
10973,7336,0
9559,10728,1
3973,4264,0
684,9031,0
703,670,1
703,9946,1
707,9165,0
754,946,1
684,5943,1
59,11739,0
705,4084,1
4408,3129,1
4546,3763,0
975,8330,0
1252,1581,1
703,11472,1
59,340,0
59,7214,0
3973,2861,1
2391,8659,0
964,885,0
2391,431,1
10973,11408,0
3973,5109,1
2391,10506,0
703,8711,1
9613,5027,1
59,4999,1
9559,5315,0
703,2705,0
9613,10098,0
684,8636,1
733,7308,0
3973,1095,1
4994,734,1
684,4341,1
59,11655,1
9613,8706,1
4994,3291,0
59,6350,0
9095,6993,0
9559,9626,1
684,5506,1
9613,4056,1
964,2371,1
2391,10076,1
703,2208,1
4408,7852,1
4546,10654,0
707,1162,1
9613,9471,1
964,10516,1
9613,9621,0
59,2317,0
9559,8886,1
308,11311,0
10973,10575,0
3973,11827,0
2391,7446,1
10973,10723,0
1252,9939,1
3973,2082,1
703,662,0
9559,5082,1
3973,9362,1
684,2126,0
308,2806,1
754,10985,0
59,11155,0
10973,9343,0
9613,9414,1
59,7229,0
2391,8324,0
9613,8610,0
787,10648,1
3973,6709,1
975,9392,0
703,5453,0
964,3286,0
59,8066,0
9613,7153,0
8212,9959,1
3973,10645,0
9613,11084,1
3973,3477,1
3966,119,1
59,1854,0
10973,6809,0
4408,2417,0
9613,9647,0
59,7243,0
4408,1766,0
59,26,1
4994,11828,1
9095,9996,1
4994,9282,1
59,9347,1
9613,7927,1
964,5832,1
9613,2225,1
5695,9550,0
11024,2484,0
3973,7792,1
1252,10527,1
9613,3568,1
684,7824,1
684,4476,0
9559,11996,1
1252,95,1
4408,8747,1
3973,11534,1
3973,216,0
5695,5764,1
10973,7616,1
9613,5024,1
2391,4824,0
4994,7335,1
703,1065,1
4408,3228,0
4994,9026,1
3973,7373,0
3973,1274,1
9613,1288,1
3973,4351,0
754,2528,0
59,8858,1
684,7048,0
9559,4665,1
703,8253,0
1252,6334,0
754,1340,0
3973,8759,0
4408,11833,1
9559,7258,0
59,11263,0
684,5437,1
4543,11721,0
703,596,1
703,3699,1
4408,2440,1
2391,6770,1
684,615,1
703,7556,0
1252,800,1
9613,6931,0
9095,4943,0
703,8445,0
703,10131,1
4408,10858,0
684,1532,1
4994,11288,1
10973,10312,1
9613,9292,0
684,5876,0
10973,8514,0
703,1885,1
4408,11480,0
3973,4503,1
754,8731,0
964,6653,1
59,7797,0
975,753,1
4408,3482,1
684,3594,0
684,1944,1
3973,6937,1
3973,5663,0
59,6251,0
9559,4094,1
4546,9827,1
8212,7616,1
964,4062,0
703,9164,0
3973,11653,1
4408,3408,0
59,6682,0
5695,4307,1
1252,9323,0
2391,2536,0
703,4530,1
59,4620,0
2391,4043,1
9559,5861,1
4543,1224,1
2391,9801,1
10973,11765,0
964,8087,1
684,1954,0
684,1074,0
4543,4392,0
10973,1983,0
1252,2467,1
754,4734,0
10973,750,0
703,1693,1
9613,10497,1
4994,9712,0
9613,8195,1
754,11528,1
59,176,0
9559,1626,1
2391,5643,1
4994,6840,0
754,7473,0
11024,7394,0
684,9285,0
964,3566,1
59,6253,0
10973,2425,1
4543,11590,0
4994,6453,1
9559,5307,0
59,8633,1
59,6909,0
59,7654,0
684,7691,0
11024,9469,0
787,2797,0
59,5323,1
59,7907,0
4994,12205,1
4543,5223,1
59,716,0
703,757,0
3973,2885,0
9613,223,1
10973,1044,0
703,8396,0
1252,2355,1
3973,11924,0
59,9383,1
59,11174,1
4408,7671,1
4408,4275,0
59,9108,1
59,7061,1
5695,1727,1
4408,3399,1
5695,11157,0
2391,2041,0
703,8828,1
3973,5876,1
59,950,1
2391,7046,0
1252,220,1
2391,10471,0
3966,1016,0
3973,5866,0
3973,4982,0
59,378,1
3973,1509,0
964,5107,0
975,8772,0
703,9885,0
4408,1310,1
10973,11603,1
2391,4700,1
2391,10115,1
703,3712,0
703,50,1
9559,6255,1
2391,9943,1
10973,2691,1
3966,5782,1
3973,4494,0
964,6585,1
964,9605,1
684,3044,1
787,3450,0
10973,110,0
4994,4480,1
59,10973,0
8212,2253,1
5695,690,0
3973,4571,1
707,7256,1
964,3995,1
4543,7943,0
1252,771,1
10973,6906,0
703,11600,0
59,2833,1
4994,48,1
59,5538,0
4408,11337,0
1252,6921,0
2391,7724,0
4408,4861,0
2391,9247,0
684,374,1
964,2202,0
754,7708,0
3966,1381,0
975,7590,0
2391,7839,1
964,834,1
10973,10962,0
5695,7122,1
10973,4686,0
3973,3541,1
3973,8754,0
787,503,1
964,5906,1
703,10756,1
9559,4744,0
2391,9512,0
