TF,Target,Label
9613,3987,1
59,3948,1
59,5892,1
9613,23,1
59,7625,1
59,1797,1
742,9205,1
9613,9181,1
59,7349,1
9613,3657,1
9613,8026,1
59,2401,1
59,5678,1
4543,1070,1
59,5877,1
9613,7461,1
4543,437,1
9613,7089,1
59,9108,1
59,10827,1
59,2735,1
59,1634,1
59,818,1
9613,8287,1
10545,5299,1
9613,4743,1
10545,3775,1
9613,6099,1
59,817,1
59,5206,1
59,6314,1
9613,4546,1
9613,3536,1
742,10145,1
9613,11926,1
742,12125,1
59,4840,1
59,6107,1
4543,5740,1
59,12025,1
9613,4091,1
59,4993,1
59,8161,1
4543,560,1
59,3171,1
9613,10668,1
59,941,1
9613,4066,1
59,5120,1
9613,4795,1
59,460,1
9613,3385,1
59,1253,1
59,4864,1
9613,7746,1
59,5759,1
9613,11903,1
59,1237,1
9613,2239,1
59,4466,1
59,3543,1
9613,7665,1
59,6359,1
10545,677,1
9613,10774,1
59,7245,1
796,4199,1
59,3555,1
9613,5055,1
9613,9532,1
59,4430,1
59,3123,1
9613,4120,1
9613,894,1
9613,1244,1
59,8394,1
59,4166,1
59,10255,1
9613,5050,1
59,8368,1
9613,8734,1
7499,9729,1
59,10538,1
59,541,1
742,9099,1
59,751,1
59,5278,1
59,1277,1
59,8072,1
10545,4326,1
59,4061,1
59,5112,1
59,2739,1
59,4341,1
9613,12181,1
59,11344,1
9613,3308,1
59,2934,1
9613,8508,1
59,4237,1
9613,8175,1
59,10795,1
10545,8077,1
59,7483,1
59,3978,1
4543,3835,1
59,5835,1
59,1655,1
59,7612,1
9613,4502,1
59,5973,1
59,7824,1
4543,10270,1
59,4540,1
59,7112,1
9613,11601,1
59,10830,1
59,3830,1
9613,3205,1
59,2829,1
59,6159,1
59,5720,1
59,893,1
59,2189,1
10545,12015,1
59,3279,1
4543,11505,1
9613,3926,1
59,9544,1
59,4116,1
59,9059,1
59,9132,1
59,8205,1
59,11902,1
10545,10519,1
9613,1845,1
59,4141,1
9613,10302,1
4543,1281,1
59,3987,1
9613,6847,1
59,2699,1
59,8025,1
4543,2337,1
4543,7979,1
59,3576,1
59,1478,1
59,725,1
9613,3800,1
1943,9328,1
59,7215,1
59,950,1
9613,8979,1
59,4854,1
59,11370,1
59,6343,1
9613,4390,1
4543,3958,1
59,7836,1
9613,6783,1
59,6645,1
4543,8783,1
59,4983,1
59,9236,1
9613,1921,1
9613,6596,1
59,11108,1
59,6136,1
59,2338,1
9613,6842,1
59,5883,1
59,4507,1
59,554,1
59,6255,1
9613,7880,1
4543,6617,1
4543,10057,1
9613,352,1
9613,9445,1
9613,3467,1
59,7090,1
4543,531,1
59,8612,1
59,3840,1
9613,9800,1
59,2974,1
59,8113,1
59,4645,1
9613,6535,1
59,1301,1
59,266,1
59,6141,1
59,8623,1
9613,5850,1
9613,1496,1
59,1094,1
4543,3358,1
59,7200,1
742,8413,1
9613,2495,1
9613,2578,1
9613,10541,1
9613,5457,1
9613,8946,1
59,11358,1
9613,7957,1
59,5971,1
59,783,1
59,10477,1
9613,11048,1
1943,10181,1
9613,5037,1
9613,2492,1
9613,11353,1
59,2376,1
59,3412,1
59,9849,1
59,450,1
59,1727,1
4543,5343,1
4543,3439,1
4543,3081,1
59,5168,1
9613,3858,1
742,5613,1
9613,2949,1
59,425,1
4543,8009,1
59,7165,1
59,2367,1
59,5714,1
4543,10929,1
59,6641,1
9613,2984,1
9613,3398,1
9613,6960,1
742,10406,1
59,5285,1
59,11298,1
59,8147,1
59,12188,1
59,4092,1
59,7415,1
59,6610,1
59,9699,1
59,11036,1
59,10370,1
9613,8815,1
9613,7163,1
9613,8876,1
9613,6512,1
59,861,1
59,10150,1
59,10201,1
59,1074,1
59,7136,1
9613,6895,1
9613,3019,1
59,11521,1
9613,4220,1
9613,4346,1
59,8780,1
59,12077,1
59,6483,1
4543,2577,1
59,5224,1
4543,9746,1
9613,11075,1
59,6923,1
59,6942,1
59,4266,1
4543,11913,1
59,122,1
59,9227,1
59,7364,1
9613,6864,1
9613,8244,1
59,5240,1
59,4077,1
59,6134,1
59,3743,1
59,4223,1
59,7440,1
59,3554,1
4543,9286,1
59,11021,1
59,3194,1
59,10610,1
59,3786,1
9613,11342,1
59,6097,1
59,10339,1
742,9800,1
4543,9843,1
59,10170,1
4543,10036,1
10545,6603,1
9613,5908,1
4543,2561,1
9613,7409,1
59,4587,1
59,6765,1
9613,6890,1
59,5674,1
59,295,1
9613,3801,1
9613,4312,1
9613,4575,1
59,11280,1
59,4560,1
4543,2417,1
59,3669,1
59,10911,1
9613,8349,1
742,3100,1
59,4283,1
4543,2249,1
59,10059,1
10545,1608,1
59,3855,1
59,4206,1
59,8363,1
9613,5983,1
9613,10999,1
59,5645,1
59,6005,1
59,12108,1
59,10920,1
9613,1389,1
59,2066,1
742,1488,1
59,2034,1
59,8664,1
9613,5798,1
59,3218,1
9613,4553,1
9613,2683,1
9613,2122,1
4543,7617,1
59,11815,1
59,9923,1
59,10213,1
59,3896,1
59,5945,1
59,11015,1
59,8978,1
59,4708,1
9613,7441,1
59,10436,1
9613,8129,1
9613,9210,1
59,5520,1
59,10089,1
59,10196,1
4543,145,1
9613,8526,1
4543,50,1
59,12048,1
59,12051,1
4543,10475,1
59,3926,1
742,4505,1
59,7239,1
59,6558,1
9613,180,1
59,7864,1
59,12012,1
59,3758,1
59,23,1
9613,2023,1
59,1229,1
9613,11597,1
59,9220,1
59,8095,1
9613,8345,1
59,4334,1
59,2816,1
59,3869,1
59,759,1
9613,10745,1
59,7803,1
4543,10516,1
4543,8974,1
59,12058,1
59,3901,1
4543,9559,1
9613,11837,1
59,3820,1
4543,5576,1
59,2342,1
59,3578,1
59,11003,1
59,689,1
9613,7983,1
9613,4485,1
9613,3852,1
9613,9490,1
59,11708,1
9613,8187,1
59,4798,1
59,2876,1
59,12199,1
742,1689,1
59,5905,1
59,9601,1
59,3323,1
4543,11310,1
9613,6672,1
9613,10406,1
59,2979,1
59,10645,1
59,4986,1
59,7106,1
59,11377,1
59,3862,1
9613,6820,1
9613,10282,1
59,1445,1
59,8616,1
59,5803,1
9613,3333,1
7499,6081,1
4543,11673,1
59,5411,1
9613,10458,1
796,11569,1
59,1238,1
59,6589,1
10545,3537,1
9613,3049,1
59,5817,1
59,11449,1
742,9366,1
59,5487,1
9613,11514,1
59,3835,1
9613,7274,1
59,6984,1
9613,6385,1
59,10912,1
9613,2914,1
59,9382,1
59,1811,1
9613,5557,1
59,5716,1
59,9105,1
59,585,1
9613,8894,1
59,8708,1
59,6958,1
59,9243,1
9613,10759,1
59,5260,1
59,3195,1
59,11366,1
59,10316,1
9613,10065,1
9613,1539,1
9613,10047,1
742,1748,1
59,2197,1
9613,2625,1
59,197,1
9613,5088,1
9613,8980,1
59,7287,1
59,6103,1
9613,1314,1
59,10565,1
59,4443,1
59,10746,1
9613,3092,1
59,11117,1
59,6186,1
59,3851,1
59,5880,1
9613,9233,1
9613,8111,1
59,5792,1
742,10191,1
59,9690,1
59,1248,1
9613,8683,1
59,3504,1
59,10665,1
4543,8743,1
9613,10765,1
9613,7829,1
9613,10391,1
59,10988,1
59,4333,1
9613,5673,1
4543,3849,1
9613,11935,1
59,7620,1
9613,3642,1
59,55,1
59,10554,1
59,4299,1
9613,11398,1
9613,11210,1
59,3949,1
742,3056,1
59,7567,1
9613,12062,1
59,9057,1
59,6315,1
59,3645,1
9613,1147,1
59,58,1
59,4979,1
9613,7531,1
4543,10915,1
4543,11626,1
59,3783,1
59,637,1
10545,2915,1
742,3957,1
59,11717,1
59,6476,1
59,3595,1
4543,6509,1
9613,10116,1
9613,8577,1
59,2927,1
9613,10358,1
59,3562,1
9613,11306,1
59,12193,1
4543,11441,1
59,2284,1
59,4795,1
9613,4655,1
59,4311,1
59,11643,1
59,9796,1
9613,10242,1
59,10268,1
59,5972,1
9613,1038,1
59,239,1
59,8427,1
59,2431,1
9613,1144,1
59,6137,1
59,5997,1
59,10856,1
59,2362,1
9613,1911,1
59,6071,1
9613,3255,1
9613,461,1
59,5482,1
59,1891,1
9613,10466,1
742,5620,1
59,3523,1
9613,10301,1
59,3650,1
59,2312,1
59,1428,1
59,1695,1
59,5016,1
9613,51,1
59,5914,1
59,10151,1
59,9100,1
59,5165,1
59,9049,1
59,9116,1
59,3009,1
59,3248,1
59,341,1
9613,1469,1
59,8047,1
59,4276,1
59,901,1
59,3274,1
9613,4162,1
9613,3807,1
9613,9247,1
59,4132,1
9613,4380,1
59,3623,1
59,10166,1
9613,5632,1
9613,426,1
10545,10267,1
4543,7204,1
9613,9804,1
