TF,Target,Label
5129,11074,1
11404,5907,1
6247,1899,0
5129,11769,1
5129,11482,1
6107,6259,0
8668,11448,1
4667,6971,1
684,7342,0
3729,1298,1
3729,8336,0
6592,6022,0
5214,7699,0
5129,10649,1
684,9946,1
4667,2185,1
5129,9585,0
11382,4225,0
6247,2999,1
6347,2059,1
8668,12134,0
100,10761,1
5333,4863,1
6107,4770,1
5129,1795,0
6107,8832,0
11724,9808,0
263,846,1
5214,10051,0
3729,6087,1
5333,7662,1
7912,5595,1
7912,4681,1
6247,9151,1
684,5482,1
5129,106,1
5129,9029,1
6247,5820,0
6347,5294,0
5214,10966,1
8668,2179,1
4667,2239,1
100,3119,1
4667,10587,0
8247,8935,1
684,3715,0
6347,8513,1
8298,8068,0
6592,5666,0
421,2677,0
4667,8039,1
6347,5844,1
11404,1656,0
8298,9657,0
11404,1815,1
11724,9607,0
8247,7877,1
8247,4325,1
7912,7402,0
11382,4285,1
8668,1868,1
11724,7121,0
6592,7338,0
4667,6095,0
11724,7693,1
3729,2971,1
7543,4815,1
5129,854,0
5129,9771,1
6107,11982,0
8298,1012,1
684,554,1
5129,9334,1
4667,5524,0
289,5113,1
6247,707,1
7912,8521,0
289,1476,0
3887,7643,1
11724,258,0
10959,11238,0
100,11492,1
684,2710,1
8247,3099,1
6592,6679,1
289,9460,1
100,4655,1
5224,7616,1
6347,8849,0
5129,4760,1
7912,5907,1
5129,1624,1
5129,9956,0
11404,8073,0
263,5886,1
11724,6738,0
6107,2996,1
5129,4288,0
8533,10946,1
7543,6321,0
5333,3805,1
4667,2781,1
5333,1471,1
8247,7547,1
11724,9705,1
6592,3547,1
10959,2431,1
3887,6068,0
5129,535,0
8668,8085,1
5224,3991,0
6592,4036,0
289,136,1
8298,4520,0
8668,2332,1
6592,330,1
7543,2603,1
11404,3885,1
7543,8167,1
6247,1615,0
11404,5471,0
8668,12100,1
6592,4576,1
11404,7415,0
5129,5590,1
100,10108,1
5333,1338,1
6247,9475,1
7543,4551,1
263,1997,0
5214,5623,0
289,8219,0
3729,5229,1
6247,2489,0
6107,3873,0
10959,340,0
289,1583,0
8247,8507,1
289,10040,1
11404,1836,0
11382,9873,1
4667,788,1
684,7887,0
5214,8661,0
11724,6849,1
11724,3208,1
6347,6649,1
5214,5483,0
8247,2571,1
5333,10830,1
6347,7446,0
7912,3410,0
6347,8247,1
289,5039,0
4667,11546,0
3887,1878,1
8247,10131,0
6247,6504,1
8247,11800,1
8298,10180,0
5129,5344,0
3729,7829,0
5129,2099,0
5214,11735,1
5333,318,1
5333,11726,1
684,6749,0
5129,514,0
5214,5988,0
5224,6264,1
5129,2756,0
100,448,1
3729,9481,1
8247,9061,0
6107,3446,0
684,10369,1
11724,11030,1
5129,2720,0
11724,3589,0
11404,7478,0
11382,3277,0
6107,1091,0
3887,5913,0
7162,9297,1
8533,8980,0
684,7810,0
6247,8191,1
11404,8821,0
684,9852,1
7912,11776,0
6107,9382,1
4667,10866,1
684,1868,1
11724,2567,1
10959,5158,1
263,5773,0
8533,4599,1
289,1596,0
8298,7750,1
421,1104,1
5214,6237,0
5129,1270,0
8533,4814,1
8298,10577,0
7543,10774,0
11382,4099,0
8298,723,0
7912,3420,0
289,9753,0
6347,844,0
263,29,1
684,3606,0
11404,11748,1
5333,11615,1
684,4033,1
6247,9481,1
100,11574,0
4667,5241,1
6247,11767,0
6247,2764,0
3887,150,0
11404,9212,0
8247,8252,1
5333,6673,0
8533,1606,1
5333,2552,1
6592,4125,0
7543,7516,0
8668,6294,0
11404,1220,0
4667,8184,0
5333,2198,0
6107,2015,1
5129,7472,0
7912,11056,0
8298,2928,1
5129,8082,1
684,8054,0
263,4553,0
684,3705,0
11724,3486,1
11404,8069,0
5129,7535,1
11724,9417,0
7162,1196,0
6592,143,1
5129,1719,0
3729,2025,0
11382,10956,0
5129,11541,1
5333,1588,0
8298,6868,1
6247,763,1
6247,3595,0
263,10684,1
5333,9278,0
6347,2070,1
5129,6487,1
5214,5586,1
8668,442,0
684,8781,0
8298,5505,1
10959,616,1
5214,2171,1
289,5728,1
4667,4690,0
8298,11214,1
289,4712,0
5129,9400,1
6592,4694,0
684,2827,0
684,6519,0
11382,7196,1
10959,11545,0
11404,837,0
11404,11032,0
263,5817,0
8668,9082,0
11404,5170,0
7162,9555,1
8247,5606,0
8668,1467,0
8247,7691,1
263,6855,1
6347,9782,0
6247,8358,1
5214,470,0
8247,292,0
5129,5159,0
8533,574,0
6247,3267,0
5214,8817,1
289,10017,0
684,4433,1
6107,3372,1
8668,12082,0
5129,8523,0
3729,11590,0
8247,11077,1
5129,5193,1
5129,9418,1
100,10027,0
11404,3305,0
5333,5623,1
3887,8123,0
684,7001,1
6592,7187,1
6247,7310,0
11724,3961,0
8533,5072,0
6247,9358,0
6107,6273,1
684,5598,0
5333,5923,1
5214,1184,0
5129,866,1
4667,4425,1
684,3846,0
100,9894,1
8533,12208,0
7162,883,1
4667,480,0
5333,4420,1
100,7420,0
6347,10412,0
6347,7666,0
8247,1144,1
11404,6578,0
11382,11713,1
8247,9647,0
11404,1957,1
11404,7516,0
5333,5894,0
6592,1020,1
10959,6742,0
6107,7825,0
11724,1125,0
10959,9485,0
10959,6223,0
5129,8897,0
11382,3738,0
5129,6677,0
3887,11510,1
5333,6610,0
5333,7576,0
7543,7165,0
684,5968,1
5129,1658,0
8668,3381,0
5129,4383,0
6347,3771,1
6247,9399,0
5129,4241,1
5129,5383,0
289,8985,1
7912,9576,0
6347,7471,0
6347,3778,1
8533,4342,1
684,757,1
5333,14,0
4667,4556,1
6107,7996,1
3729,1257,1
3729,6626,0
11404,4964,1
421,6808,1
6247,6072,0
