TF,Target,Label
3887,7257,0
7442,6196,0
7442,11954,1
7863,5385,1
7442,2224,0
7442,10517,1
7863,7823,0
7863,3545,1
7442,903,1
7863,1153,1
7442,3891,0
7442,11423,0
8247,9784,0
7442,9046,1
8247,9262,1
8247,7817,0
8247,1275,1
7442,365,0
7863,266,0
3887,5301,1
7442,10540,1
8247,6677,0
7442,7184,1
8247,11977,1
7863,8175,1
3887,1949,0
7442,2178,0
7442,7601,0
8247,1060,0
8247,2801,0
8247,1235,1
8247,4479,1
7863,2233,1
8247,8289,0
7863,7565,1
8247,5867,1
7442,6548,0
8247,2210,1
8247,9199,0
8247,9721,0
7863,5135,0
7863,70,0
7863,9438,1
8247,6918,0
8247,11535,0
7863,10147,1
8247,5615,0
8247,3315,1
3887,5207,1
8247,633,0
3887,1398,0
7442,9157,0
7442,8211,0
7442,943,1
7863,2134,0
8247,3641,1
3887,5691,0
8247,8716,0
3887,2181,0
8247,5504,1
7442,2066,0
7863,6558,1
8247,6836,1
8247,6120,1
8247,5170,1
7863,4454,1
7863,10665,1
7863,8723,0
7863,7183,1
3887,9936,0
8247,5495,1
8247,9578,1
8247,273,0
7442,4267,0
3887,3035,1
7442,7812,1
8247,11828,1
7442,9503,0
7442,3139,0
8247,10939,0
7863,4177,0
3887,6382,0
7442,8170,1
8247,11551,0
8247,10551,0
7442,7985,0
7442,6790,0
7442,10170,0
7863,6375,0
8247,9930,1
8247,9777,1
7442,1094,1
7442,4416,1
3887,345,1
7442,10117,0
7442,6881,0
8247,5662,1
7442,11865,0
7863,6206,0
3887,6613,1
3887,5873,1
7442,189,0
3887,10068,0
7442,10392,0
7863,7706,0
7442,6086,1
7442,4562,1
7442,9065,0
7442,2897,0
7442,10448,1
7442,12047,1
7442,11324,1
8247,93,0
8247,4581,0
7442,5381,1
7442,6037,1
3887,8287,1
8247,11909,0
7442,7971,1
8247,2519,0
8247,8867,0
7442,7335,1
3887,9287,1
7442,8956,0
7442,1065,1
7442,6647,1
3887,5726,1
7863,6125,0
3887,3247,1
7863,9493,1
3887,8560,0
8247,3202,0
7863,9046,1
7863,8488,1
7863,3576,1
8247,1699,0
3887,3120,0
3887,7107,1
8247,3631,0
7442,9407,1
7442,6556,1
7442,2511,1
8247,8134,0
8247,2232,0
7863,11035,1
3887,2871,0
8247,5124,0
8247,7995,0
8247,6132,1
7863,1857,0
7442,1292,1
7863,6177,1
8247,7297,1
3887,8485,1
8247,5907,1
3887,3442,0
7863,2602,0
8247,11903,0
8247,7008,0
7863,7167,0
8247,6579,1
7442,6558,1
3887,3403,0
7442,11059,0
7442,8963,1
7442,10771,0
8247,515,0
3887,318,1
8247,1063,1
7442,12018,1
7863,7142,0
8247,4863,0
3887,3548,0
8247,4892,1
8247,8016,0
8247,11371,1
7442,10240,0
8247,2965,0
7442,8490,0
8247,9712,0
7442,2253,1
7442,286,1
8247,9056,0
7863,5554,0
3887,11017,0
8247,6806,1
7442,4323,0
8247,4949,0
3887,8565,1
8247,470,0
3887,3894,1
3887,5521,0
3887,9355,1
7863,2120,0
8247,8970,1
3887,9361,0
3887,10998,0
8247,1018,0
7863,773,0
8247,7174,0
8247,6965,0
8247,2446,1
7442,4144,0
3887,2069,1
7863,2255,0
7442,3425,0
7442,9136,0
3887,1974,1
8247,4983,1
3887,11350,0
7442,8787,1
8247,685,0
7442,587,0
7863,10730,0
7442,12208,0
7442,5574,1
7442,10362,0
7863,6513,0
7442,9202,1
7863,4369,0
7863,820,1
7442,4963,0
8247,11775,0
3887,4783,1
8247,11872,1
7442,7877,1
7442,11014,1
7863,5983,0
7442,3741,1
7863,7597,0
8247,3200,1
8247,10863,0
8247,5482,1
7863,10259,1
8247,6145,0
7442,10567,0
8247,9745,1
7442,763,1
8247,131,1
7442,10909,1
8247,8828,1
7442,2810,1
7442,5116,1
8247,6011,1
7442,9163,1
7442,6406,0
7863,11836,1
8247,4673,0
8247,3041,1
8247,7615,0
7442,9915,0
7442,6450,1
7442,3735,1
7442,8052,1
7442,2766,0
8247,11136,1
7442,10373,1
7442,3257,1
8247,2439,0
8247,5048,1
3887,9556,0
8247,536,0
7863,4169,1
7863,5337,1
8247,3252,1
8247,6122,1
7442,10856,1
8247,3515,1
8247,8057,1
7442,4554,0
7863,10064,0
8247,10869,1
7442,7374,0
8247,6525,0
8247,8865,0
7442,462,1
7863,8660,1
8247,5728,0
7442,10003,1
8247,4612,0
3887,4032,1
7442,5260,1
8247,4619,0
3887,1019,1
7442,9927,0
7863,2608,1
3887,8951,0
7442,3269,0
8247,7183,1
7442,11718,0
7442,4638,0
7863,2601,0
7442,3089,0
3887,1215,1
7442,11050,1
8247,2576,1
7442,6207,0
7442,10078,1
7442,7691,1
7442,4762,1
8247,5218,1
3887,3425,0
7863,7532,0
7442,11253,0
8247,2086,1
8247,330,0
7442,6786,1
8247,12094,1
3887,11815,0
8247,8814,0
3887,4609,1
8247,3480,1
3887,7341,0
7442,4689,0
7442,5171,0
7863,2686,0
7442,11426,1
7442,12034,1
7442,11461,0
3887,1841,1
7442,2211,0
7863,1748,0
7863,4773,0
