TF,Target,Label
7863,6033,1
8668,998,1
5335,487,1
8668,8500,1
7863,6028,1
5178,4301,1
5335,11012,1
5335,9910,1
7863,11590,1
5178,1193,1
8668,307,1
8668,180,1
8668,8349,1
5335,5502,1
8668,8345,1
5178,11449,1
7863,11497,1
5178,3420,1
7863,3353,1
7863,5238,1
7863,4451,1
7863,9064,1
5335,7304,1
5335,332,1
7863,1545,1
7863,9554,1
5335,8669,1
5178,1447,1
7863,8271,1
8668,7218,1
8668,3450,1
8668,6173,1
8668,9151,1
8668,911,1
7863,10469,1
7863,2928,1
7863,11213,1
5178,10033,1
7863,6145,1
5178,6099,1
5178,9969,1
8668,11530,1
5178,8290,1
7863,1438,1
7863,6223,1
7863,866,1
8668,3743,1
8668,4906,1
8668,12196,1
5178,7291,1
7863,10707,1
8668,9233,1
8668,1720,1
7863,8330,1
7863,10601,1
5178,4485,1
8668,281,1
8668,713,1
5335,9942,1
7863,3667,1
5178,3863,1
7863,6502,1
8668,8275,1
5335,882,1
5178,6488,1
7863,9720,1
7863,8498,1
8668,12048,1
5178,3999,1
7863,10528,1
8668,8377,1
8668,5453,1
8668,1918,1
8668,3656,1
7863,4429,1
5178,8747,1
8668,3254,1
5178,9400,1
8668,2559,1
5178,1821,1
8668,2208,1
8668,275,1
5335,2399,1
8668,11961,1
7863,2268,1
5335,449,1
7863,6385,1
7863,3545,1
7863,2121,1
5335,2634,1
7863,5511,1
7863,8798,1
8668,4467,1
7863,6784,1
8668,6308,1
8668,2528,1
5178,7292,1
5335,7865,1
5178,2864,1
5178,8507,1
7863,7451,1
8668,821,1
5178,6422,1
7863,8985,1
7863,1918,1
7863,11199,1
7863,9282,1
8668,3270,1
5178,5961,1
8668,5755,1
5335,3920,1
8668,1398,1
5178,3417,1
8668,2901,1
7863,853,1
8668,6492,1
8668,6880,1
7863,3842,1
5178,816,1
7863,576,1
5335,4309,1
5335,3668,1
5178,11601,1
7863,2014,1
5178,4525,1
8668,7223,1
7863,9755,1
8668,1027,1
5335,7721,1
5335,9871,1
7863,10968,1
7863,1472,1
7863,11483,1
7863,5944,1
5178,6326,1
8668,646,1
7863,7257,1
5178,8317,1
5178,10575,1
5335,10581,1
5178,480,1
5178,2479,1
7863,8560,1
8668,10964,1
5178,870,1
5178,7535,1
7863,5798,1
7863,9377,1
7863,6324,1
5178,9656,1
8668,2969,1
7863,7246,1
7863,702,1
5178,7153,1
7863,3333,1
5178,7311,1
8668,5879,1
8668,1407,1
7863,868,1
7863,5956,1
5335,2086,1
5178,9243,1
5178,6364,1
5178,832,1
7863,8747,1
7863,1059,1
7863,11038,1
8668,3524,1
7863,263,1
8668,481,1
8668,1489,1
8668,2762,1
5335,991,1
7863,5523,1
5335,8630,1
5335,7003,1
7863,2642,1
7863,5908,1
5178,10394,1
5178,5284,1
8668,10312,1
5178,5964,1
7863,4964,1
7863,2171,1
7863,6527,1
5178,6709,1
7863,5988,1
7863,4801,1
5335,5939,1
5178,460,1
5178,11159,1
5178,5170,1
7863,11193,1
5178,10105,1
8668,5744,1
7863,6930,1
5335,2913,1
7863,3623,1
7863,7422,1
5178,4714,1
7863,672,1
5178,5943,1
5335,5601,1
5335,1617,1
5335,1824,1
8668,10371,1
8668,8444,1
7863,12021,1
7863,8210,1
5178,8988,1
7863,2895,1
7863,11673,1
8668,3771,1
8668,447,1
5335,9320,1
5178,7665,1
5178,4081,1
7863,2611,1
5178,7179,1
5178,1472,1
7863,11061,1
7863,3626,1
8668,419,1
7863,3381,1
8668,8664,1
5335,1286,1
5178,4181,1
5335,3877,1
5178,6600,1
5335,9570,1
5178,11205,1
7863,6847,1
8668,10698,1
5335,10497,1
8668,4979,1
5178,7357,1
7863,1551,1
7863,585,1
5178,5185,1
7863,2992,1
7863,7085,1
8668,3666,1
8668,6351,1
5178,331,1
5178,9934,1
8668,7175,1
5178,6435,1
8668,4606,1
5178,653,1
5335,4612,1
8668,9562,1
5178,286,1
5335,10361,1
5178,3494,1
8668,11351,1
5178,2199,1
5178,11789,1
5178,4814,1
5178,8959,1
5178,9071,1
7863,6419,1
7863,309,1
5178,11126,1
5335,9481,1
5178,3805,1
5335,6317,1
5335,11592,1
8668,7824,1
8668,6105,1
8668,4262,1
5178,3209,1
7863,992,1
8668,8789,1
8668,2016,1
7863,2389,1
5178,8358,1
8668,10944,1
7863,10878,1
8668,2142,1
5178,4286,1
7863,8938,1
8668,6383,1
5178,1143,1
8668,9117,1
5335,9604,1
5335,4736,1
7863,9969,1
8668,7382,1
7863,6093,1
8668,9091,1
5178,11514,1
5178,2130,1
7863,6441,1
3887,2115,1
8668,4950,1
7863,2768,1
7863,11508,1
8668,5142,1
8668,3031,1
7863,1253,1
8668,9148,1
8668,1185,1
8668,7746,1
7863,9241,1
7863,2866,1
8668,9041,1
5335,4187,1
7863,8348,1
5178,3277,1
7863,5897,1
5178,10958,1
8668,8368,1
8668,2567,1
8668,1282,1
8668,2386,1
5178,7750,1
7863,1102,1
7863,6685,1
7863,1975,1
7863,2231,1
7863,11425,1
7863,9274,1
7863,2369,1
7863,376,1
5335,11231,1
5178,11953,1
7863,8149,1
8668,3759,1
8668,2552,1
8668,9723,1
5178,2048,1
7863,5180,1
8668,6434,1
8668,2373,1
5335,326,1
7863,8476,1
5178,8205,1
8668,9488,1
8668,10370,1
8668,1792,1
8668,2527,1
7863,11548,1
5178,11590,1
7863,307,1
5335,9592,1
5335,7647,1
7863,7298,1
7863,7019,1
7863,9267,1
5178,11820,1
8668,3641,1
5335,1222,1
5335,10660,1
8668,10038,1
7863,4312,1
7863,8842,1
5178,2574,1
8668,11899,1
7863,9079,1
7863,2055,1
5335,1949,1
5335,4342,1
7863,4160,1
7863,3178,1
7863,11196,1
5335,11609,1
5178,4665,1
8668,11832,1
5178,10813,1
5178,5381,1
7863,3821,1
5335,3399,1
5178,11595,1
7863,11288,1
7863,2924,1
8668,7137,1
5178,4061,1
7863,10165,1
8668,8074,1
7863,11286,1
5178,8417,1
8668,8494,1
7863,1271,1
8668,5695,1
7863,8717,1
7863,9434,1
8668,5848,1
8668,72,1
3887,7776,1
3887,62,1
7863,2549,1
7863,7662,1
7863,5770,1
5178,3373,1
8668,10399,1
7863,5300,1
5178,2355,1
8668,8430,1
8668,4393,1
5178,8037,1
8668,8456,1
5335,9726,1
5335,2976,1
7863,9157,1
8668,10499,1
7863,1657,1
5178,8638,1
8668,11539,1
7863,11037,1
7863,3843,1
7863,7165,1
8668,8190,1
8668,10942,1
5178,1602,1
5335,7566,1
8668,9942,1
8668,7591,1
8668,7533,1
7863,2294,1
